회차,시간,인물,대사
16,55~60,정진영,그냥... 이런 저런 일을 하는가봐요. 주무세요 그만...
16,55~60,정진영,"어, 왜 그래?"
16,55~60,정진영,뭐라고? 두한이가 모시는 쌍칼형이 구마적에게 도전을 해?
16,55~60,정진영,그래..?
16,55~60,정진영,내일 정오...? 
17,10~15,두한,"아, 그게 무슨 소립니까?"
17,10~15,두한,말도 안 됩니다. 쌍칼 형님은 다시 일어나셔야 됩니다.
17,10~15,두한,예? 수삼일 내에 말입니까?
17,15~20,두한,"아, 왜들 이러십니까? 전 아닙니다. 차라리 그렇다면 영태 형님이 맡으셔야 됩니다. 전 너무 어립니다."
17,15~20,두한,"모두의 뜻이 그렇다면 쌍칼 형님이 회복되실 때까지, 형님의 뜻을 따르겠습니다."
17,15~20,두한,"예, 영태형님. 저 두한이도 목숨을 바쳐 잘하겠습니다.*"
17,30~35,두한,왜 그래야 하는 거죠?*
17,30~35,두한,우리가 조직을 넘기지 않으면 어떻게 됩니까?*
17,35~40,두한,전쟁?*
17,35~40,두한,그렇겐 못합니다.*
17,35~40,두한,쌍칼 형님이 내게 조직을 부탁한 것은 그렇게 힘없이 내주라는 뜻이 아닐 겁니다. 여기를 지키라는 뜻일 겁니다.*
17,35~40,두한,지킬 겁니다. 절대로 내 주지 못합니다. 절대로...*
17,35~40,두한,김두한입니다.
17,40~45,두한,아저씨
17,40~45,두한,지금 말입니까?
17,40~45,두한,예.
17,45~50,두한,아저씨께서 실수하신 것은 없습니다.*
17,45~50,두한,안되다니요? 그럼 제가 할 수 있는 일이 무엇입니까?*
17,45~50,두한,"그동안 많이 헤맸습니다. 길도 찾아봤구요. 하지만, 이제 제 갈 길은 제가 갑니다. 더 이상 누구에게 신세 지고 싶지 않습니다.*"
17,45~50,두한,생각하기 나름이지요.*
17,45~50,두한,잘못 생각하셨습니다. 저는 만주로 가야만 독립군이 되는 줄 알았습니다. 총과 태극기를 둘러야만 독립군인 줄 알았습니다.*
17,45~50,두한,하지만 거리의 건달도 독립운동을 할 수 있습니다. 일본 놈들과 싸울 수 있다고요.*
17,45~50,두한,지금 당장 왜놈들이 이 종로 통을 먹으려 하고 있습니다. 사람들은 내 주먹을 필요로 하고 있어요. 이만 가보겠습니다.*
17,45~50,두한,이미 그럴 수 없게 됐습니다.*
17,45~50,두한,여길 지키려면 그들과 다 싸워야 합니까?
17,50~55,두한,그렇게 하면 어떻게 됩니까?
17,50~55,두한,"흠, 그렇겐 안됩니다. 싸웁시다, 영태 형님."
17,50~55,두한,"쌍칼 형님이 왜 저렇게 되셨습니까? 일본 놈들이 종로로 나오려고 하니까, 그것을 반대하다가 그렇게 된 겁니다. 헌데, 그걸 눈감으라구요?"
17,50~55,두한,그래서 어쩔 겁니까? 다 내주고 나서 뭘 어떻게 하라는 겁니까? 
17,50~55,두한,"왭니까, 형님?*"
17,50~55,두한,근데 우리가 왜 갑니까?*
17,50~55,두한,난 여기서 그냥 마시렵니다.*
17,60~65,두한,"하하하, 오늘 아주 재밌는 걸 봤습니다.*"
17,60~65,두한,해볼 만합니다.*
17,60~65,두한,구마적 말입니다. 전 절대로 이정목을 안 떠납니다.*
17,60~65,두한,절대 안 떠납니다!*
18,0~5,두한,"무슨 말인지 잘 알겠습니다. 하지만, 이미 제 결심은 섰습니다."
18,0~5,두한,이대로 무릎을 꿇을 수는 없습니다.
18,0~5,두한,"나중에 언제? 뿔뿔이 흩어져서 뭘 어쩌겠다구? 여길 내주는 순간 우리도 모두 끝장이야, 나중은 없어!"
18,0~5,두한,난 무식해서 그런 어려운 말 잘 모릅니다. 하지만 의리가 뭔지 남자다운 게 뭔진 잘 압니다. 쌍칼 형님이 왜 목숨을 걸고 구마적과 싸우셨습니까?
18,0~5,두한,다 사나이의 자존심 때문입니다. 난 그 자존심을 지키겠다는 겁니다. 목숨보다 소중한 사나이의 자존심 말입니다.
18,0~5,두한,"지금 괜한 고집이라고 하셨습니까? 그렇습니까, 영태 형님? "
18,0~5,두한,"이미 제 결심은 섰다고 말씀드리지 않았습니까? 떠나고 싶은 사람은 떠나도 좋다. 하지만, 나 두한이 혼자서라도 여길 지킬 거다. 죽더라도 여기서 죽겠다 이 말이야."
18,0~5,두한,"후, 모두들 고맙다. 우리가 힘을 합쳐 죽을힘을 다해 싸운다면, 무서울 건 아무것도 없어. 상대에게 겁부터 집어먹으면 그 싸움은 이미 진 거나 마찬가지야.*"
18,0~5,두한,내 자신을 믿어야 한다. 이 싸움은 해볼 만해. 난 그걸 봤어...*
18,10~15,두한,예.*
18,10~15,두한,"예, 알겠습니다. 영태 형님, 잠시 들어가시죠. 들어가지?*"
18,10~15,두한,잘 먹겠습니다. 드시죠?
18,10~15,두한,"아우, 맛이 아주 좋습니다."
18,10~15,두한,예
18,10~15,두한,"아, 형님도 좀 드시죠?*"
18,10~15,두한,아닙니다. 제가 한잔 따라 드리겠습니다.
18,10~15,두한,그런 일은 없습니다. 이 종로 이정목은 우리가 지켜드리겠니다. 걱정하지 마십시오.
18,15~20,두한,하지만 여기 우리들이 이렇게 남아있지 않습니까? 쌍칼 형님만은 못해도 잘 할 자신 있습니다. 이 김두한이의 이름을 걸고 맹세하는 겁니다.
18,15~20,두한,헤...
18,15~20,두한,너희들은 나서지 마. 나 혼자서 해결한다.
18,15~20,두한,왜 죄 없고 나이 많은 어른을 치나? 이거 아주 형편없는 놈이로구만?
18,15~20,두한,어차피 오길 기다리고 있었소. 나갑시다. 한판 붙기에는 여긴 너무 비좁은 거 같지 않소? 그리고 더 이상 이 가게에 손해를 끼치게 할 수도 없고...
18,15~20,두한,알아. 당신이 오길 기다리고 있었다고 하지 않소?
18,15~20,두한,착각하지 마. 구마적의 오른팔 실력이 어느 정도인지 한 번 보고 싶었을 뿐이야.*
18,15~20,두한,솔직히 실망이야. 겨우 이 정도였어?*
18,20~25,두한,"칼을 쓰다니, 부끄럽지 않나?*"
18,20~25,두한,잘 들어. 우린 절대 이정목을 떠나지 않아. 그리고 너희 오야붕에게 고개를 숙일 생각도 없어! 그건 일본놈에게 고개를 숙이는 거나 마찬가지니까. 볼일 다 봤으면 그만 돌아가라.
18,25~30,두한,정당한 싸움이었소.
18,25~30,두한,필요 없소.
18,25~30,두한,그만두시오.
18,25~30,두한,나는 부끄럽지 않소. 이 주먹도 독립운동일 수 있으니까.
18,30~35,두한,결국은 이 두 주먹을 길러서 악질 일본 놈들을 때려죽일 수도 있다 이 말이오.
18,40~45,두한,"아, 바쁘실 텐데 뭐 하러 오셨어요? 별일도 아닌데.*"
18,40~45,두한,네. 아근데 그렇게 물어보시니까 제가 꼭 어린아이가 된 것 같네요. 저 이제 아이가 아닙니다 아저씨.*
18,40~45,두한,"하, 전 제 방법대로 살고 있는 겁니다 아저씨.*"
18,40~45,두한,"실망하시는 것 같네요. 하지만, 저 이제 만주에 안 갑니다.*"
18,40~45,두한,"네, 아저씨. 이곳에서도 아주 할 일이 많아요. 언젠가 아저씨도 절 다시 보시게 될 겁니다.*"
18,40~45,두한,잘못 생각하시는 겁니다. 곧 그렇지 않다는 걸 아시게 됩니다.*
18,40~45,두한,"네. 제가 바로 김좌진 장군의 아들, 김두한입니다.*"
18,45~50,두한,후.. 모두들 무사해야 할 텐데. 내가 정말 괜한 고집을 부린 건가. 아니야 그래야 했어. 일본과 한패가 된 자들에게 굴복할 수는 없는 일이야.*
18,45~50,두한,이 싸움은 절대로 져서는 안 되는 싸움이다. 이겨야 한다. 반드시 이겨야 한다.*
18,50~55,두한,그래 고맙다.*
18,50~55,두한,고마워.*
18,50~55,두한,"예, 형님. 모두들 무사하시다니 다행입니다. 아, 아저씨들도 오셨어요? 장사 안 하시고 여긴 왜들 오셨어요?*"
18,50~55,두한,너희들도 왔구나?
18,50~55,정진영,고생했다 두한아. 오늘 아침에야 니가 이렇게 된 줄 알았어.
18,50~55,두한,나중에. 있다가 먹자.
18,50~55,두한,"가죠, 형님. 아이 가다밥만 먹었더니 배가 고픕니다? 우리 저 설렁탕이나 한 그릇 하십시다. 가시죠, 형님?*"
18,50~55,두한,"아이 설렁탕이면 되는데, 너무 많이 차리셨습니다.*"
18,55~60,두한,모두들 고맙습니다. 내 죽는 날까지 오늘을 기억하겠습니다.*
18,55~60,정진영,조용히 해... 쉿...*
18,55~60,두한,안 된다는 거 아시지 않습니까? 사과는 절대 못합니다.*
18,55~60,두한,그렇게 하겠습니다. 정정당당하게 도전장을 내겠습니다.*
18,55~60,두한,아이 뭐가 그렇게 복잡합니까? 싸우자면 싸우는 거지!*
18,55~60,두한,"아, 그럼 어떻게 해야 하는 겁니까?*"
18,55~60,두한,거물이라구요?*
18,60~65,두한,예. 내가 김두한입니다.
18,60~65,두한,말씀이 지나치십니다. 신마적 형님.
18,60~65,두한,말씀이 지나치다고 했습니다.*
19,0~5,두한,예. 내가 김두한입니다.
19,0~5,두한,말씀이 지나치십니다. 신마적 형님.
19,0~5,두한,말씀이 지나치시다고 했습니다.*
19,0~5,두한,말씀이 지나치시다고 했습니다.*
19,5~10,두한,"하지만, 지나치지 않습니까? 너무 많은 사람들이 괴롭힘을 당하고 있는 것 같애요."
19,5~10,두한,아까 왜 말리셨습니까?
19,5~10,두한,"난 그런 거 모릅니다. 아무리 선배라지만, 그런 모욕은 참을 수가 없습니다."
19,5~10,두한,어차피 넘어야 할 산이라면 오래 끌고 싶지 않습니다.
19,10~15,두한,두렵지 않습니다. 난 내 자신을 믿습니다.
19,10~15,두한,그럴 생각 없습니다.
19,10~15,두한,난 압니다. 우리가 사는 방법은 오로지 싸워서 이기는 것 뿐입니다.*
19,10~15,두한,"미안합니다, 답답하게 해드려서. 하지만 어쩔 수가 없습니다.*"
19,20~25,두한,예! 어젠 정말 고마웠습니다. 
19,20~25,두한,"하, 아무 일 없었습니다."
19,20~25,정진영,안녕하세요.*
19,20~25,두한,"헤, 그럼! 어젠 미안했다. 오랜만에 만났는데 별 이야기도 나누지 못하고. 가자! 우리 어디 가서 시원한 거나 한 잔 마시자."
19,20~25,정진영,아냐 두한아. 잘 있는 거 봤으니까 됐어. 우리도 일하러 가야지.*
19,20~25,두한,"우리도 오래 앉아 있진 못해. 할 일이 많다구. 영태 형님, 잠시 가시죠?"
19,20~25,두한,그럼 요 앞 다방에 가 있겠습니다. 가지.
19,25~30,두한,"아, 내 자리가 좀 좁은데?*"
19,25~30,두한,"음, 가자.*"
19,25~30,두한,"자, 니들 뭐 마실래?*"
19,25~30,정진영,아무거나. 니가 알아서 시켜 줘.*
19,25~30,두한,"허허, 그래요 그걸로 주세요.*"
19,25~30,두한,"으하하, 아 그게 그렇게 궁금해?*"
19,25~30,정진영,야야야! 쓰읍...*
19,25~30,정진영,"그만해라 개코, 그런 얘기 하려고 온 게 아니잖아?*"
19,25~30,두한,"그 어쩌다 보니까 그렇게 됐다. 아니 근데 이거, 그리 편한 자리는 아닌 것 같애.*"
19,25~30,정진영,"그럴 거야. 잘은 모르지만, 아무나 하는 자리가 아닐 거야.*"
19,25~30,정진영,"근데, 정말 아무 일 없는 거야? 구마적의 부하들을 때려서 경찰서에 간 거라면서? 구마적이 가만있을까?*"
19,25~30,두한,걱정 마. 별일 없을 거야.*
19,25~30,두한,"아, 형님! 이쪽으로 앉으십쇼.*"
19,25~30,두한,네. 야 니들 정식으로 인사드려라. 김영태 형님이시다.*
19,25~30,정진영,"정진영입니다. 예, 잘 부탁드리겠습니다.*"
19,25~30,두한,아니 근데 형님. 삼수는 어디 심부름 보내신 겁니까?*
19,30~35,정진영,두한아! 그럼 우린 이쪽으로 가볼게.*
19,30~35,두한,그래! 다음에 또 보자.*
19,30~35,정진영,"가자, 개코 어... 아 참! 두한아!*"
19,30~35,정진영,너한테 물어본다는 걸 깜빡했다. 너 혹시 최기자님 소식 좀 아니?
19,30~35,두한,최기자 아저씨? 유치장에서 한 번 뵀어. 근데 왜?
19,30~35,정진영,아니. 무슨 일이 있는가 해서. 요즘 최기자님이 다니시는 신문사의 신문이 며칠째 나오지 않았거든.
19,30~35,두한,그래?
19,30~35,정진영,"하긴 뭐, 예전에도 그런 일이 종종 있었어. 별일 아닐 거야. 그럼 간다!"
19,40~45,두한,앉으라고 하십쇼.
19,45~50,두한,김두한입니다. 처음 뵙겠습니다.
19,45~50,두한,그런 얘기라면 돌아가십쇼. 안 들은 걸로 하겠습니다.
19,45~50,두한,쌍칼 형님과 같은 이윱니다. 일본 놈들과 손을 잡는 사람을 형님으로 모실 수는 없습니다. 됐습니까?
19,45~50,두한,돌아가시라고 했습니다.
19,50~55,두한,"영태 형님, 그만 일어나시죠. 밤이 늦었습니다. 자, 일어들 나지! 술은 됐구, 출출한데 어디 가서 우동이나 한 그릇 하자구."
19,55~60,두한,사람들 앞에서 부끄럽지도 않으십니까?
19,55~60,두한,선배면 선배답게 행동을 하십시오. 후배들이 뭘 보고 배우겠습니까?
19,55~60,두한,그만하십쇼.
19,55~60,두한,그만하십쇼. 더 이상은 참아 드릴 수가 없습니다.
19,55~60,두한,까마득한 후배한테 망신당하고 싶지 않으시면 그만 돌아가십쇼.
19,55~60,두한,돌아가십쇼! 이 두한이가 드리는 마지막 부탁입니다.
20,0~5,두한,꼭 그렇게 하셔야겠습니까?
20,0~5,두한,이 아우를 원망하지 마십쇼. 형님께서 이런 행패만 부리지 않으셨다면 이런 일은 없었을 겁니다.
20,5~10,두한,"형님, 병원으로 모셔다드리십쇼."
20,5~10,두한,가시죠.* 오늘은 술 한잔해야겠습니다.
20,5~10,정진영,"야, 분명 두한이 맞지? 잘못 본 건 아니지?*"
20,5~10,정진영,"야, 개코!"
20,5~10,정진영,그럼 넌 여기 있어. 우리 갔다 올게.*
20,5~10,정진영,"아 야, 두한이, 두한이 어떻게 됐어?*"
20,5~10,정진영,"야, 두한인 지금 어디 있냐? 아직도 명월관에 있는 거야?*"
20,5~10,정진영,"하, 어쨌든 다행이다. 많이 걱정했는데..."
20,5~10,정진영,돌아가자. 무사한 걸 알았으니 안심이다.*
20,5~10,정진영,됐어. 우리가 끼어들 일이 아니야. 가자!
20,5~10,정진영,그만 가자니까!
20,5~10,정진영,으씨... 가자!
20,15~20,두한,신마적 형님은 어떠시냐? 깨어나셨냐?*
20,20~25,두한,설향씨 때문에 싸운 게 아닙니다.*
20,20~25,두한,그만 돌아가요. 그리고 다시는 찾아오지 말아요. 그게 설향씨와 나를 위하는 길입니다.*
20,20~25,두한,그럼...*
20,25~30,정진영,너희들 뭐 하는 거야?*
20,25~30,정진영,뭐 하는 거냐니까?*
20,30~35,두한,예...
20,30~35,두한,형님께 병문안 왔다.
20,30~35,두한,몸은 좀 괜찮으십니까?
20,30~35,두한,"어, 형님?*"
20,30~35,두한,어제 일은 죄송하게 됐습니다. 용서하십시오.*
20,35~40,두한,"하, 뭐라 드릴 말씀이 없습니다.*"
20,35~40,두한,"아, 그게 무슨?*"
20,35~40,두한,"형님 말씀, 잘 알겠습니다. 하지만 정말로 떠나셔야겠습니까? 이곳에 계시면서 이 두한이를 도와주십쇼.*"
20,35~40,두한,명심하겠습니다.*
20,35~40,두한,"네, 형님. 그렇게 하십쇼. 그럼 편히 쉬십시오.*"
20,35~40,두한,좋은 얘기 많이 들었습니다. 가시죠.*
20,40~45,두한,"예, 그렇습니다만?"
20,40~45,두한,절 아십니까?
20,40~45,두한,"아하, 그러십니까? 처음 뵙겠습니다."
20,40~45,두한,무슨 일 있습니까?
20,40~45,두한,"아, 그럼 아저씬 어떻게 되시는 겁니까?"
20,40~45,두한,예...
20,45~50,두한,상인이 살아야 우리도 사는 겁니다. 세금을 낮춰도 충분히 꾸려갈 수 있습니다. 그렇게 하십쇼.
20,45~50,두한,"지금 당장은 아니지만, 아이들에게 일자리를 갖게 할 생각입니다. 언제까지 이렇게 놀고먹을 수만 없는 노릇이 아닙니까?"
20,50~55,두한,앞으로 그렇게 만들어야죠. 아 그리고 제가 듣기로 그 구마적에게 바치는 세금이 엄청나더군요. 앞으로는 세금을 바치지 않을 생각입니다. 갖다 줄 이유가 없습니다.
20,50~55,두한,어차피 바라던 바가 아니었습니까?
20,50~55,두한,그 일은 이미 각오하고 있습니다. 그렇게 하십시오. 너희들도 알아들었지?
20,50~55,두한,"어, 오랜만이구나. 아니 근데 니가 여긴 웬일이야?"
20,50~55,두한,"아니, 마지막 인사라니? 너 무슨 일 있는 모양이구나? 그렇지?"
20,50~55,두한,번개. 
20,50~55,두한,너 우리랑 함께 있자.
20,50~55,두한,얼마 전에 니가 순사들한테 쫓기는 걸 봤어. 다른 데 가더라도 또 그 모양일 거 아니야?
20,50~55,두한,그러니까 내 말대로 해.
20,50~55,두한,"허허, 이 짜식..."
20,50~55,두한,"아 그래 참, 영철인 어떻게 된 거야? 왜 아직까지 안 보이는 거야?"
20,50~55,두한,애란씨가?
20,50~55,두한,아니 무슨 일이?
20,50~55,두한,그래?
21,0~5,두한,그만해라 무옥아. 찾아온 용건이 뭐요?
21,0~5,두한,삼수야.
21,0~5,두한,자리 내 드려라.
21,0~5,두한,말해 보시오.
21,0~5,두한,그런 돈 없소.
21,0~5,두한,없다고 말했소.
21,0~5,두한,"훗, 그만 돌아가셔야겠습니다. 가서 구마적 형님께 똑똑히 전하시오. 이 김두한이는 왜놈들과 한통속인 사람에겐 단 한 푼도 바칠 수 없다고 말이오."
21,5~10,두한,그만하십시오. 영철이도 알아 들었을 겁니다.
21,5~10,두한,"한 번만 용서해주십쇼, 영태 형님. 무슨 사정이 있겠지요."
21,5~10,두한,예 형님. 그럼 제가 용서를 하겠습니다. 그만 일어나라 영철아.
21,5~10,두한,이건 명령이야. 어서 일어나.
21,5~10,두한,무슨 일인지 얘기해봐. 너 혹시 밖에 무슨 걱정거리 있는 거 아니야? 그런 거야?
21,10~15,두한,"영철이가 왔다. 근데 통, 무슨 일인지 말이 없어."
21,10~15,두한,뭐? 아 그런 일이 있었어?
21,10~15,두한,그 노름빚이 얼마나 되는데?
21,10~15,두한,오천원?
21,10~15,두한,내일 당장?
21,10~15,두한,그러면 아이란이가 더 위험해져. 그렇다고 그 자를 죽일 수도 없는 거잖아?
21,15~20,두한,"씁, 우리가 아는 사람 중에 그만한 돈을 가지고 있는 사람이 누가 있을까?"
21,15~20,두한,하야시?
21,15~20,두한,"아니, 그냥 궁금해서... 야 무옥이도 얼른 자라. 오늘 세금 걷느라 피곤했을 텐데."
21,15~20,두한,"하야시, 하야시... 하야시...*"
21,15~20,정진영,예 어머님.*
21,15~20,정진영,"괜찮아요, 어머니. 시험이 얼마 남지 않았거든요. 이번에 꼭 고시에 붙어서 어머닐 기쁘게 해드리고 싶어요.*"
21,15~20,정진영,꼭 합격할 거예요. 그리고 변호사가 돼서 가난하고 어려운 사람들을 도울 거예요. 두고 보세요 어머니.*
21,15~20,정진영,"어머니, 제가 꼭 행복하게 해드릴게요.*"
21,15~20,정진영,뭐 하는 거야!*
21,15~20,정진영,지금 뭣들 하는 거야? 그러다 애들 감기라도 들면 어쩌려고 그래?*
21,15~20,정진영,됐어! 다들 들어와!*
21,25~30,두한,"쉿, 조용히 해.*"
21,25~30,두한,조용히 해라. 떠들면 당신 목에 상처가 날 것이다.
21,25~30,두한,조선 땅에 들어와서 돈을 많이 벌었다지? 그 돈이 어디서 나온 건지 묻지 않아도 잘 알고 있겠지?
21,25~30,두한,그렇다. 현금으로 오천원을 내놓아라. 너무 억울해 하진 마라. 어차피 그 돈은 조선 땅에서 나온 것이니까.
21,25~30,두한,잘 알고 있지. 그래서 당신 집을 택한 것이다.
21,25~30,두한,"훗, 그렇다고 해 두지."
21,25~30,두한,더 이상 알 거 없다. 어서 돈을 내놓아라.
21,25~30,두한,소리치지 않는 게 좋을 거요. 난 사람을 죽이러 온 게 아니니까. 알겠나?
21,25~30,두한,그래봤자 당신 부하들만 다쳐.
21,25~30,두한,언젠가 다시 만날 날이 있을 거요. 아무튼 이 돈은 고맙게 잘 쓰겠소.
21,30~35,두한,이건 강도 짓이 아니야. 아버님도 예전에 독립자금을 구하기 위해 이렇게 하신 적이 있다고 했어. 다를 게 없는 거야.
21,30~35,두한,"조선의 처자를 일본놈에게 빼앗길 순 없는 거다. 그래, 잘 한 거야."
21,35~40,두한,"잠깐만, 거기 앉아 봐."
21,35~40,두한,아이란한테 다녀와.
21,35~40,두한,"훗, 줏었어."
21,35~40,두한,"하, 야 사람들 본다. 어서 넣어둬라."
21,35~40,두한,"하하, 아 그렇다니까.*"
21,35~40,두한,"헷, 어서 가봐. 아이란이 기다리고 있을 거야. 아주머니! 여기 깍두기 좀 더 주세요.*"
21,35~40,두한,"예, 고맙습니다.*"
21,35~40,두한,하유 밥이나 먹어.
21,35~40,두한,그냥 바람 좀 쐤습니다. 그렇게 아십쇼.
21,40~45,두한,"훗, 그래. 잘 됐다니 다행이다."
21,40~45,두한,"하이, 그만해."
21,40~45,두한,오늘 저녁에 말입니까?
21,40~45,두한,막아야 합니다. 어떻게든 우리가 막아야 합니다!
21,50~55,두한,"하하, 난 그저 돈을 줏어온 거뿐입니다. 아이 자꾸 이러시면, 내가 너무 부끄럽습니다.*"
21,50~55,두한,"아이, 오라버니요?*"
21,50~55,두한,"후훗, 아니 벌써 많이 마셨는데... 좋습니다. 이 한잔으로 끝입니다. 아이 취하는데...*"
21,50~55,두한,"야, 후훗...*"
21,50~55,두한,하하... 야 이 자식아 그만해라!*
22,5~10,정진영,"저기 어르신들, 안녕하세요?*"
22,5~10,정진영,그 지나다가 듣자 하니 두한이 얘기를 하시는 것 같은데 저 두한이에게 무슨 일이 생긴 겁니까?
22,5~10,정진영,"예, 안녕하세요, 안녕하세요.*"
22,5~10,정진영,복수 라뇨?
22,5~10,정진영,"아이, 그럴 리가요! 두한이가 당할 리가 있나요? 두한이가...*"
22,5~10,정진영,다른 사람도 아니고 두한이가! 아 두한이가 그렇게 될 리가 있나! 큰일이다.*
22,10~15,두한,"으, 으으, 으!*"
22,10~15,두한,형님...
22,10~15,두한,"여기가, 어딥니까?"
22,10~15,두한,"어윽, 아닙니다. 전 괜찮습니다. 근데 어떻게 된 겁니까? 제가, 얼마나 잔 겁니까?"
22,10~15,두한,고마워요...
22,10~15,두한,저 다른 아이들은 어떻게 됐습니까?
22,10~15,두한,"하, 그렇게 되었군요. 하, 모두 제 잘못입니다. 제가 방심을 했습니다...*"
22,10~15,두한,"제가 자만을 해서 그렇게 된 겁니다. 형님 말씀에 조금 더 귀를 기울였어야 했는데... 하아, 부끄럽습니다.*"
22,15~20,정진영,글쎄? 도무지 짐작이 가는 곳이 있어야지. 있을 만한 곳은 다 가봤잖아.
22,15~20,정진영,두한인 돌아올 거야. 그렇게 물러설 녀석이 아니야.
22,15~20,정진영,"아유, 최기자 아저씨 아니세요?*"
22,15~20,정진영,그런데 어떻게 여기까지 오셨어요? 혹시 두한이를 찾으러 온 거 아니세요?
22,15~20,정진영,저희도 두한이를 어떻게 찾을까 궁리하고 있었어요.
22,15~20,정진영,네 그렇게 할게요. 꼭 연락드릴게요.
22,15~20,정진영,살펴 가세요!
22,15~20,정진영,"하, 시간이 좀 걸릴 거야. 몸이 낫는다 해도 섣불리 돌아오진 못할거야.* 구마적패들이 두한일 찾기 위해 날뛰고 있질 않니."
22,15~20,정진영,"두한이가 돌아온다면, 돌아온다면 그건 구마적과 다시 싸우기 위해서 일 거야."
22,15~20,정진영,"나는, 나는 두한이를 알아."
22,20~25,두한,많이 좋아졌습니다. 좀 갑갑하기도 하구요.
22,20~25,두한,"헤, 괜찮습니다. 아 저 그런데, 언제까지 여기 있어야 하는 겁니까?"
22,20~25,두한,"습, 다른 아이들은... 괜찮을까요?"
22,20~25,두한,하루빨리 종로로 돌아가야 합니다.*
22,45~50,두한,"오래전에, 어릴 적에 뵌 적이 있습니다."
22,45~50,두한,스님께서 저희 아버님의 장사를 지내주셨습니다.
22,45~50,두한,김자. 좌자. 진자를 쓰십니다.
22,45~50,두한,예...*
22,45~50,두한,"핫, 그럴만한 사정이 좀 있었습니다.*"
22,45~50,두한,돌아가야 한다. 언제까지 이렇게 절간에 숨어있을 수만은 없다. 상인들과 내 동무들이 있는 곳으로 난 돌아가야 한다.*
22,45~50,두한,목숨을 걸고 구마적과 싸워야 한다. 이렇게 물러설 수는 없다. 가야한다. 야시장과 종로를 되찾아야 한다!*
22,50~55,두한,아닙니다 형님. 아무래도 여길 떠나야 될 것 같습니다.
22,50~55,두한,"몸은 괜찮습니다, 움직일만합니다. 더 이상 여기에 있을 이유가 없습니다. 구마적을 봐야겠습니다."
22,50~55,두한,가야 합니다. 설향씨 얘길 듣지 않으셨습니까?
22,50~55,두한,난 갑니다. 누가 뭐래도 난 갑니다.
22,50~55,두한,나 혼자 가는 겁니다. 구마적과 일대일로 싸우겠습니다.*
22,50~55,두한,이미 각오하고 있습니다.*
22,55~60,정진영,무슨 일이십니까? 제가 정진영입니다만...
22,55~60,정진영,설향아씨라뇨?
22,55~60,정진영,두한이 일로요?
22,55~60,정진영,두한이가 어딨는지 알고 계십니까?*
22,55~60,정진영,"후, 구마적에게 보내는 도전장입니다.*"
22,55~60,정진영,"그리고 여기, 우리에게 당부하는 글이 있군요.*"
22,55~60,정진영,전 그저 심부름을 왔을 뿐입니다. 어디에 있는진 저도 모릅니다.
22,55~60,정진영,경성안 암자 어딘가에 있었다는 건 알고 있습니다.
22,60~65,정진영,그러실 필요 없을 거 같은데요?
22,60~65,정진영,두한인 오늘 종로로 온다고 했습니다. 아마 지금쯤 도착했을 겁니다.
23,0~5,두한,아... 예. 예. 안녕하세요...*
23,0~5,두한,오랜만이구만. 그런데 지금 여기서 뭐하고 있는 건가? 
23,0~5,두한,아직은 아니야. 우미관으로 돌아가라.
23,0~5,두한,돌아가라고 했다.
23,0~5,두한,한 번 해 보겠다는 건가?
23,0~5,두한,알고 있을 텐데? 난 내일 너희 오야붕과 승부를 겨루기로 되어 있어.
23,0~5,두한,그건 니가 상관할 바가 아니야.
23,5~10,두한,"여길 떠난 지 얼마 되지도 않았는데, 꼭 몇 년이 지난 것처럼 길게 느껴지는군요. 돌아오니 고향처럼 푸근하군요."
23,5~10,두한,"하아, 제가 구마적을 이길 수 있을까요? 하, 솔직히 두렵습니다. 오늘 시장 상인들을 만나고 나서부터, 뭔가 육중한 것이 제 어깨를 짓누르는 것만 같습니다."
23,5~10,두한,"오, 번개로구나?"
23,5~10,두한,흐흐... 자 앉읍시다. 그 다른 아이들은 어떻게 됐는지 소식 좀 들은 거 있나? 
23,5~10,두한,"흠, 그래, 그랬구나..."
23,10~15,두한,고맙습니다. 잘 먹겠습니다.*
23,10~15,두한,"고맙습니다.* 그동안 상인 여러분들에게 걱정 끼쳐드려서 너무나 죄송스럽습니다. 하지만 저 김두한이, 아직 죽지 않았습니다."
23,10~15,두한,이 종로 이정목을 쌍칼 형님께 물려받을 때 저는 굳게 약속을 했었습니다. 무슨 일이 있더라도 이 종로 이정목과 야시장을 지키겠다고 말입니다.
23,10~15,두한,"저 김두한이 배운 것도 없고 무식하지만, 무엇이 옳고 그른진 잘 알고 있습니다. 으음, 반드시 이기겠습니다. 죽을힘을 다해서 이 야시장은 꼭! "
23,10~15,두한,"괜찮습니다. 신경 쓰지 마십쇼. 하아, 하... 괜찮습니다...*"
23,15~20,정진영,우린 두한이 친구야. 두한이한테 볼일이 있다고.* 
23,15~20,두한,"그래, 어서 와라. 자 여기 좀 앉지.*"
23,15~20,두한,제 어릴 적 동무들입니다.
23,15~20,정진영,"쓰읍, 야...! 무사히 돌아와서 다행이야. 몸은 괜찮니? 쓰읍!*"
23,15~20,두한,"응, 너희들한테 어려운 일 시켜서 미안하다. 수고해줘서 고마워.*"
23,15~20,정진영,"고맙기는, 별로 한 것도 없는데...*"
23,15~20,정진영,맞습니다. 아 저희들보다는 형님하고 설향 아씨가 고생이 많으셨죠.*
