,회차,시간,인물,대사
9010,70,30~35,두한,이게 뭔 줄 아십니까?
9012,70,30~35,유진산,음... 아니 이건? 그 자네가 일전에 얘기했던 그 이박사께서 써주셨던 휘호 아닌가? 미국 말로 싸인 말일세.
9013,70,30~35,두한,"그렇습니다. 이 돈봉투 대신 내 주신 겁니다. 즉 이걸로 방법을 찾아봐라, 하신 거 아니겠습니까?"
9014,70,30~35,유진산,"흠, 헌데... 이걸로 어떻게?"
9015,70,30~35,두한,아 그러니까 누가 돈이 많은지 그것부터 얘기를 좀 해 주십쇼. 애국헌금을 거둬야겠습니다.
9016,70,30~35,유진산,거둔다?
9017,70,30~35,두한,"자진해서 내지 않으면은, 억지로라도 거둬야할 거 아니겠습니까? 말씀을 해주십쇼. 누구누굽니까? 돈 있는 사람들이?"
9019,70,30~35,개코,"아이, 나 알제? 아, 정진영이 친구여 개코라고!"
9022,70,30~35,개코,아 고것이 아니여... 나 대장 좀 만나러 온 것이여. 정진영이 말이여...
9024,70,30~35,개코,아 고것이 아니라 대장 만나러 온 것이여! 내 친구 정진영 말이여. 참말이여!
9027,70,30~35,개코,아악! 진영아!*
9028,70,30~35,정진영,무슨 짓들이야? 그만두지 못 해?*
9029,70,30~35,개코,"어! 아익, 그 저... 진영아..."
9030,70,30~35,개코,아 죽는 줄 알았당께? 너 안 나왔으면 나는 꼼짝없이 죽었을 것이여!
9031,70,30~35,정진영,어쩐 일이야? 니가 여길 다시 오다니... 여긴 오지 말라고 했잖아!
9032,70,30~35,개코,어... 그냥... 하도 답답해서 말이여.
9034,70,30~35,정진영,내 친구야!
9036,70,30~35,정진영,왜들 이래? 내 친구라고 하잖아! 나가들 있어.
9038,70,30~35,정진영,"마셔라. 니가 여기 왜 왔는지 나는 알 것 같애. 야, 개코. 지난번에도 니가 한번 왔던 적이 있었지. 넌 사실 우리 친구들 중에 가장 정이 많은 놈이야. 마음 고생이 많을 거다."
9039,70,30~35,개코,알긴 아는구먼... 나가 두한이한테도 말했다. 이 썩을 놈의 세상이 어쩌자고 친구 간에 서로 못 잡아먹어서 이리 안달이여?
9040,70,30~35,개코,그 날 용산 파업 현장에서 말이지. 난 너를 봤다.
9041,70,30~35,정진영,그랬을 거다. 이제 와서 얘기지마는 김무옥이가 죽은 것도 가슴이 아프다. 어쨌든 무옥이도 친구가 아니냐?
9042,70,30~35,개코,그 일로 해서 너하고 우리는 점점 더 멀어지게 됐다.
9043,70,30~35,정진영,그래. 서로가 돌아오기 어려운 강을 넘었어. 너도 조심해라. 이렇게 여길 찾아오면은 그 쪽에서도 의심받을 수가 있어.
9044,70,35~40,개코,"흐, 그깟 의심이 뭔 대수다냐? 다리 밑 그지생활 할 때를 생각해 봐. 무옥이가 죽고 너희 노조원들이 살해당하는 걸 다 봤다."
9045,70,35~40,개코,그리고 세상에 둘도 없는 친구인 너를 생각했어. 언젠가 이렇게 죽지 않으면 우리도 이렇게 돼 죽겄구나...
9047,70,35~40,정진영,아마 그렇게 될 거다.
9048,70,35~40,개코,"그게 아니야 진영아... 다 지나간 일이지만, 다시 옛날처럼 될 순 없을까? 옛날 말이여!"
9049,70,35~40,정진영,너무 늦었어.
9051,70,35~40,개코,다시 생각해 봐. 두한이는 너한테 총을 맞고도 일장의 아무 대응이 없었어. 다른 사람 같았으면 벌써 절단이 나도 났을 것이다...!
9052,70,35~40,개코,"그라고, 모든 사람들이 너를 죽이자고 하는데도, 아무 말이 시방까지 없었어... 그것은 너를 지금까지도 생각하고 있다는 그 말 아니겄어?"
9054,70,35~40,개코,요즘은... 하루하루 가는 것이 무섭고 끔찍허다... 한순간만 잘못해도 누군가가 죽을 수 있어. 안 그냐 진영아? 진영아... 화해해라... 잘못했다고 혀!
9056,70,35~40,개코,잘못했다고 혀 이놈아! 두한인 시방 있을 것이여. 전화해라. 우리끼리 이러면 안뎌... 한번만... 한번만 만나달라고 혀 진영아...!*
9057,70,35~40,정진영,잔 마셔라. 니 말은 한번 생각해보마. 보나마나 어려운 일이지만 말이다. 이미 우리는 원수가 됐어. 자고 나면 총부리를 겨누는 사이가 됐어.*
9058,70,35~40,정진영,"그리고, 이 총에 죽다 살아난 두한이야. 우리가 과연... 화해할 수 있을까?*"
9059,70,35~40,개코,해야제... 해야제 인마!*
9060,70,35~40,정진영,어려울 거야... 어려울 거야...*
9061,70,35~40,개코,정진영...*
9062,70,35~40,정진영,어려울 거야. 두한이는 이미 나를 쏘려고 마음을 굳혔을 거야! 틀림없이 그럴 거야.*
9063,70,35~40,개코,아니랑께... 아니랑께! 그래서 내가 온 것이여! 아무래도... 아무래도 지금 기회가 없을 것 같아서 그려...!*
9066,70,35~40,조병옥,이보게 두한이! 내가 도대체 무슨 돈이 있나? 애국자금을 만들어야 되겠다고?
9068,70,35~40,조병옥,내가 돈이 있어야지!
9069,70,35~40,두한,아 그때 아편을 불태우지만 않았다면 이렇게까지 급하진 않았을 겁니다!
9070,70,35~40,조병옥,무슨 소리야? 그렇더라도... 정의와 진실을 외면해선 안 돼! 오히려 그럴 때일수록 냉정해져야 돼!
9071,70,35~40,두한,지금도 거리에서 그리고 여러 파업 현장에서 우리 청년 대원들이 죽어가거나 다치고 있습니다.
9072,70,35~40,두한,그런데 도와주는 이들이 아무도 없습니다! 그렇다고 싸움을 포기할 수도 없고 말입니다.
9074,70,35~40,두한,아 일단은 합법적으로 여러 곳에 헌금을 요구해 보겠습니다. 그러나 그것이 잘 안된다면은 다소 무리가 따르더라도 이해를 하십시오.
9075,70,35~40,조병옥,이해? 그 무슨 얘기야?
9076,70,35~40,두한,이 두고 보시면 알게 될 겁니다.
9078,70,35~40,조병옥,뭘 알아? 아니 무리수를 두겠다는 건가? 어거지를 쓰겠다 이런 얘기야?
9079,70,35~40,두한,아 그건 나중에 아시게 될 겁니다. 아무튼 애국자금을 모으도록 하겠습니다. 아 애국자금 말입니다!
9080,70,35~40,조병옥,"물론, 자금을 조달해야 되겠지. 그러나 법을 어기진 말게! 내 말 명심해! 자네가 하는 일은 늘 과격하고 위험해서 말이야!"
9081,70,35~40,두한,아 그렇게 하지 않으면 누가 돈을 내놓겠습니까?
9082,70,35~40,조병옥,뭐야?!
9086,70,40~45,두한,"아, 예 청장님..."
9087,70,40~45,조병옥,"법을 지켜야 돼, 법 말이야 법! 내 말 명심해!"
9088,70,40~45,두한,"네, 박사님."
9107,70,40~45,조병옥,"안타까운 일이오.* 결국 우리한테 온 건 돈을 어떻게든지 마련해 보겠지마는 뭔가 정당하지 못한 방법을 써서 마련하겠다, 그런 뜻 같은데?"
9109,70,40~45,조병옥,"슬픈 현실이오. 아니 그 돈은 나라에서 마땅히 대줘야 하는데, 아니 김두한이가 지금 무슨 돈이 있겠소?"
9110,70,40~45,조병옥,수천 명을 먹여살릴라면 한 두푼도 아니고... 어이구!? 이거 나라 또 시끄러워지겠네...
9112,70,40~45,김영태,그러니까 오야붕이 관철이 너와 함께 오지 않고 삼청동에 있는 본가로 가셨단 말이지?
9113,70,40~45,김관철,"네 그렇십니다. 뭐 퍼뜩 볼일이 있으시다고, 먼저 가라고 하셨십니다."
9114,70,40~45,김영태,그래?
9115,70,40~45,문영철,조박사님 만나신 일은 어떻게 됐냐?
9116,70,40~45,김관철,"거 잘 모르겠십니다. 지는 밖에만 있었다 아입니까? 다만... 이 메모지를 주시면서, 이 명단에 있는 집들을 다 알아놓으라고 했십니다."
9117,70,40~45,김영태,"이게 뭐야? 태창방직의 백낙승, 화신백화점의 박흥식, 고리대금업자 공노인, 금호공단의 안모씨, 인삼장수라는 민노인...?"
9120,70,40~45,두한,그렇소.
9122,70,40~45,두한,어디에다 쓸건지... 물어보지도 않는구려?
9124,70,40~45,두한,고맙소. 일이 잘 되면 다시 찾아오겠소. 이 잘 안된다면은 영영 이 집을 내어줄 수도 있을 거요.
9126,70,40~45,두한,미안하오.
9128,70,40~45,두한,"그렇소. 애국자금으로 쓸 거요. 용서하시구려. 은행에 잡혀서, 이 자금으로 좀 쓸 거요."
9130,70,40~45,두한,이 그만 일어나야겠소. 아 참... 이 지난번에 보내준 옷은 잘 받았소.
9133,70,40~45,두한,여러가지로 이해를 해줘서 고맙소. 가 보리다.*
9135,70,45~50,김영태,집문서라니? 도대체 무슨 일인가?
9136,70,45~50,두한,내일 은행에 가서 돈을 좀 대출 받아오십쇼. 이 집값이 오만원은 간다고 합니다. 애국자금에 쓸 거라고 하고 오십만원은 받아내십쇼.
9137,70,45~50,신영균,아 이렇게 되면은 도대체 삼청동 가족들은 어떻게 되는 겁니까 형님?
9138,70,45~50,두한,그건 알 거 없다. 살아있는 사람들은 어떻게든 살기 마련이야.
9139,70,45~50,문영철,그건 말도 안 돼. 기왕 있는 놈들을 털 거 아니냐. 그런데 왜 집까지 잡혀야 되는 거야?
9140,70,45~50,두한,내가 먼저 있는 것을 내놓아야 남들 것을 달랠 수가 있는 거야.
9142,70,45~50,개코,워매 징한 거야... 아 어치케 사람이 사는 집을 다 잡힌다 그 말이여?
9144,70,45~50,두한,이미 정하고 가져온 거야. 아 근데 왜들 이렇게 말들이 많은 거야? 난 지금 애국자금을 모으려고 하는 거야. 나부터 동참하고 말이야.
9145,70,45~50,두한,따라서 모든 걸 떳떳하고 공평하게 하려고 하는 거야. 내 집을 놓아두라고 하는 것은 결과적으로 남의 것만 뺏으려는 얘기가 아닌가? 이 김두한이가 그렇게 비열한 게 좋겠나?
9147,70,45~50,두한,모두 그런 거야? 준비들 해. 당분간 여러 파업 현장을 돌면서 동시에 자금도 마련한다. 우린 도둑이 아니다. 애국자금을 모으려는 거야.
9148,70,45~50,두한,있는 자들의 돈을 받아서 나라를 위해 쓰려고 하는 거란 말이야. 내일부터 사흘간 그 명단에 적힌 집들을 알아봐.
9149,70,45~50,두한,"다른 대원들은 일체 개입시키지 말고, 우리끼리 한다. 알겠나?"
9151,70,45~50,두한,만약을 위해서... 영태 형님은 지난날 해 온 것과 마찬가지로 장부를 잘 관리해주십시오. 나중에 분명 시끄러울 여지가 있습니다.
9152,70,45~50,김영태,알겠네.
9153,70,45~50,두한,지금부터 사흘 훕니다. 그 때부터 시작하십시다. 빨리 해결하고 끝내야 합니다.
9154,70,45~50,김영태,알았네!
9156,70,45~50,김관철,"별동대 사무실입니다. 여보세요, 여보세요! 마 전화 잘못 걸었십니까? 아 전화를 했으면 말을 해야 한다 아입니까? 여보세요? 여... 끊겼십니다."
9157,70,45~50,두한,자 오늘은 이만 하지. 모두들 가서 쉬어.
9159,70,45~50,두한,아 여보세요? 아 별동댑니다. 여보세요?
9160,70,45~50,두한,여보세요? 말씀 하십시오.*
9162,70,45~50,정진영,"그래... 이미 늦은 거야. 다 늦은 거야. 이제 와서 대체 무슨 말을 한단 말인가? 그리고, 도대체 내가 지금 무슨 짓을 하려고 한단 말인가?*"
9163,70,45~50,정진영,화해? 친구? 글쎄... 이제 와선 말도 안되는 일이야...*
9166,70,45~50,개코,거시기 아까 그 전화 말이여... 혹시 진영이 전화 아냐?
9167,70,45~50,두한,진영이?
9168,70,45~50,개코,응... 실은 나가 낮에 한 번 갔다왔거든.
9169,70,45~50,두한,전위대로 말이야?
9170,70,45~50,개코,응. 아직까지는 진영이가 잘못했다고 손 들고 돌아올 것 같아서 말이여...
9171,70,45~50,두한,"그래, 다른 대원들한테도 말을 했어?"
9172,70,45~50,개코,"아녀, 아니여! 아 어떻게 그런 말을 하겄어?"
9173,70,45~50,두한,"그래, 일체 말을 하지 마라. 그리고 다신 가지마! 진영이는 돌아오지 않아, 아니! 돌아올 수가 없어."
9174,70,45~50,개코,"어 두한아, 글지가 않어. 나가 만나본 진영이는 말이여 참말로 미안해하고 있었당께."
9175,70,50~55,개코,"나가 만나보라고 항께 만나겄다고 혔고, 나가 잘못했다고 빌라고 항께, 그럴 뜻도 보였고 말이여."
9176,70,50~55,두한,"다시 말하지마는, 가지 마라. 절대로 돌아올 수가 없어. 알겠어? 그리고 다른 대원들한테 심약하게 보이지 말고 말이야."
9177,70,50~55,두한,"술도 시도 때도 없이 마시지 말고! 너 요즘, 아주 심하게 흔들리고 있다."
9178,70,50~55,개코,"나도... 내가 뭐가 뭔지 모르겄당께. 정말로 모르겄당께 ... 두한아, 진영이 한번 용서할 수 없겄냐? 용서해라... 제발 용서해라 두한아...!"
9180,70,50~55,두한,내려가서 쉬어라...
9181,70,50~55,개코,두한아...!
9182,70,50~55,두한,다시 한번 말하지마는... 가지 마라. 다른 대원들이 오해할 수가 있어. 거긴 적이야. 우리들의 적 말이야. 무옥이를 죽인 적이야. 그래도 모르겠어?
9183,70,50~55,두한,정신 차려라 개코. 정신 차려.
9187,70,50~55,정진영,뭐가 말이오?
9189,70,50~55,정진영,글쎄...
9191,70,50~55,정진영,알고 있소.
9193,70,50~55,정진영,그것도 알고 있소.
9197,70,50~55,조병옥,"이상하구만... 김두한이가 여길 왔다가면서 심상치 않은 얘기를 했는데, 너무나 조용해. 참 조용해... 이제 내 말을 알아들었단 얘긴가? 응...?"
9209,70,50~55,두한,대부분 부잣집은 다 개들이 있는 거야. 역시 이 집부터가 순서가 되겠어. 여기서부터 가자고.
9211,70,50~55,두한,일주일 안에 끝을 내야 돼. 우선 큰 집부터 시작을 하자고.
9212,70,50~55,김관철,회계장조 왔십니다! 큰형님 집문서 맡기고 돈을 빌렸습니다.
9213,70,50~55,두한,그래 다 주던가?
9214,70,50~55,신영균,적당히 위협을 했습니다. 오만원짜리 물건으로 오십만원 받을려면 별 수 있겠습니까?
9215,70,55~60,신영균,"큰형님 이름으로 영수증을 써주고, 애국헌금을 받는 걸로 했습니다."
9216,70,55~60,두한,잘들 했다.
9217,70,55~60,김영태,정말... 오늘 저녁부터 시작할 건가?
9218,70,55~60,두한,"아 그래야 되지 않겠습니까? 자꾸 미룰 일이 아니지 않습니까? 이 날씨도 흐리고, 곧 비가 쏟아질 거 같아서 안성맞춤입니다."
9219,70,55~60,김영태,"이 내가 볼 땐 명단들이 많던데, 그 사람들 다 찾아갈 건가?"
9220,70,55~60,두한,이 일정한 모금액을 거치면은 그만둬야죠. 그러나 적은 액수가 아닙니다. 대충 한 칠천만원 정도가 필요할 것 같습니다.
9221,70,55~60,두한,"이 그 정도면은, 우리 별동대원들이 한 일년간은 살림을 할 수 있을 거 같습니다."
9222,70,55~60,김영태,"칠천만원? 이 사람아, 자네 집 한 채에 오만원이야. 칠천만원이라면..."
9224,70,55~60,두한,"흠, 만들어 봐야죠."
9225,70,55~60,문영철,웹지 서글픈 생각이 든다.
9226,70,55~60,두한,아니 뭐가?
9227,70,55~60,문영철,사실 이건... 강도질이 아니냐? 강도 말이야.
9228,70,55~60,두한,"애국헌금이지, 강도가 아니야."
9229,70,55~60,문영철,"지난 날, 우리 아이란을 구하기 위해서 두한이 니가 하야시 집으로 찾아간 일을 다 기억하고 있어."
9230,70,55~60,두한,"그랬지. 나중에 하야시도 그걸 알았다고, 내가 다녀간 걸 말이야. 어쩔 수가 없었지 뭐, 지금도 그렇고."
9231,70,55~60,문영철,"난 이래서, 두한이 너를 떠날 수가 없다. 자신의 집을 내놓고 아무도 생각하지 않는 이 나라를 위해서 또 강도질을 선택했다는 거 말이야."
9232,70,55~60,김영태,"하지만, 이건 정말 비극이야. 어쨌든, 사람의 돈을 터는 일이지. 우리가 왜 이래야 하는지 모르겠어."
9233,70,55~60,김영태,"얼마든지 떳떳하고 당당하게 살 수 있는 우리가... 그런 생각을 하면, 난 우리 오야붕 두한이가 너무 딱하다는 생각이 들어. 사람들이 과연 두한이의 그 충정을 알아줄까?"
9234,70,55~60,두한,"아, 누가 알아줘야 애국을 하는 겁니까? 애국이란 스스로 좋아서 하는 것이지, 알아달라고 하는 거 아닙니다. 그런데 뭘 못하겠습니까? 남들은 강도라고 해도, 우린 애국입니다. "
9236,70,55~60,두한,"그 옛날, 임꺽정이도 그리고 홍길동이도 백성들을 위해서 도적질을 했습니다. 그것이 바로 의적입니다.*"
9237,70,55~60,두한,저희 아버님도 독립자금을 마련하기 위해서 친일파들을 턴 적이 있습니다. 그런데 뭘 못하겠습니까? 왜요?*
9238,70,55~60,두한,사사로이 단 한 푼도 우리가 쓰려는 것이 아닙니다. 그런데 왜 못합니까? 왜? 우린 오늘 의적이 되는 것입니다.*
9239,70,55~60,두한,필요하다면 얼마든지 난 도적이 될 것입니다. 나라를 위해서 말입니다. 나라를!*
9240,71,0~5,문영철,첫 번째 집이 화신백화점 박흥식이 집이라고 했나?*
9242,71,0~5,문영철,시끄럽지 않게 해라. 어디까지나 우리는 바깥 경계만 맡는다.*
9244,71,0~5,두한,일전에 이승만 박사께서 내려주신 휘호를 가지고 왔습니다.*
9245,71,0~5,두한,우리는 헌금을 받을 때마다 왜 헌금을 받는지를 분명하게 할 필요가 있습니다. 이 따라서 영태 형님은 성금을 접수한 후 반드시 영수증을 주도록 하십시오.*
9246,71,0~5,두한,그것이 우리가 도적들과 다르다는 것을 말하는 겁니다.
9247,71,0~5,김영태,그러나 강제로 받아내는 것은 분명한 사실일세. 
9249,71,0~5,두한,과거 일정 때 큰일이 있을 때마다 부자들이 돈 내고 싶어서 낸 줄 아십니까? 다 이 본인의 뜻과 상관없이 내는 겁니다. 
9250,71,0~5,두한,그거나 이거나 뭐가 다릅니까? 그러니 애국을 모르는 사람은 강제로 내게 하는 수밖에 없습니다.
9251,71,0~5,신영균,맞습니다 큰 형님. 있는 놈들은 돈으로 막고 없는 놈들은 몸으로 때우고 뭐 그러는 것 아니겠습니까? 하하하
9252,71,0~5,김관철,그 돈 다 어떻게 벌었겠십니까? 뭐 일제 시대 때 일본놈들한테 아부 안 하고 돈 번 놈들이 어디 있느냐 이말입니다. 
9253,71,0~5,김관철,그 돈 애국하는데 좀 쓰자는데 누가 뭐라카겠십니까?
9254,71,0~5,김영태,그러나 너무 거칠게 해서는 안 되네. 어디까지나 이건 그야말로 나라를 위해서 성금을 걷는 거야. 
9255,71,0~5,신영균,형님도 참. 아 고분고분 누가 돈을 내놓겠습니까? 말을 안들으면 좀 겁도 좀 주고 그러는거지요. 하하하 
9258,71,0~5,개코,어머! 아따메 거 비가 오라지게 오네 그려. 아 차가 두 대나 떠났다고 했나? 
9260,71,0~5,개코,아따 날씨한번 지랄같구만. 아 하필 오늘 같은 날 일을 시작했다 그랴? 응? 아따 취허네..
9262,71,0~5,개코,아 나가 소주 안 먹고 사는 날 봤냐 인마?
9264,71,0~5,개코,하 하긴 그 말도 맞네.. 
9266,71,0~5,개코,휴..흉내라고...? 웃기는 소리 하지마라 인마. 이 개코가 어디 시라소니 근처나 가겄냐? 에휴 심란해서 마시는 거다. 심란해서 말이여. 
9267,71,0~5,개코,"친구끼리 적이 돼갖고 총질을 해대질 않나, 인자는 오야붕이 식구들 데리고 나가서 강도질을 떠나야.... 에휴 징한거야 어쩌다가 시상이 이리 되어부렀을까? "
9269,71,0~5,개코,시끄러워 인마. 총칼 들이대고 뺏는 애국성금이 어딨다냐? 
9271,71,0~5,개코,"아유 그래, 너 잘났다 잘났어. 나는 이렇게 소주나, 소주나 마실란다. "
9272,71,0~5,개코,에휴.. 그나저나 나가말이여 용산철도청 파업 때 생각이 참 많아졌다. 무옥이 죽을 때 말이여. 
9275,71,0~5,개코,"뭐여... 눈, 눈 밖? 하긴 그려. 진즉에 눈 밖에 났는지도 모르제. "
9277,71,0~5,개코,"하지만 말이다, 삼수야... 너는 모른다. 너는 몰라. "
9278,71,0~5,개코,나하고 두한 오야붕하고 진영이하고 수표교 다리 밑에서 어떻게 컸는지 말이여.*
9279,71,0~5,개코,"너는 몰라. 몰라, 인마. 우린 부모형제도 없이 우리끼리 컸다. 피붙이 보다 더 진한 사이다 그 말이여.*"
9280,71,5~10,개코,"근데 어쩌다 이렇게 되어갔고 생각을 안 할라고 혀도, 미치겄다.*"
9282,71,5~10,개코,아니여 아니여. 나가 어떻게 하든지 두 사람을 붙여 놓을 것이여. 꼭 붙여 놓을 것이여.*
9284,71,5~10,개코,아니여. 절대로 아니여.... 두한이도 이 속마음은 아닐 것이여. 절대로 아닐 것이여.*
9291,71,5~10,두한,경호원들은 없다. 이게 보이나? 
9293,71,5~10,두한,이승만 박사께서 애국헌금을 하는데 쓰라고 내려주신 것이야. 
9295,71,5~10,두한,"자 잘 봐... 보여 안 보여? 이승만 만 자 맞아, 안 맞아?!"
9297,71,5~10,두한,당신은 일제시대 때 일본군에게 비행기를 헌납한 적 있지? 미군들과 싸우라고 말이야. 
9299,71,5~10,신영균,죽을죄를 졌으면 죽어야지! 
9301,71,5~10,두한,애국청년들이야. 애국청년단 말이야. 나 김두한이야.
9303,71,5~10,두한,"김두한 알아, 몰라? 종로에 백화점을 가지고 있으면 나를 자주 봤을 텐데? "
9305,71,5~10,두한,너 같은 친일파들이 있기 때문에 과거에 많은 독립군들이 죽었다. 지금도 마찬가지야. 
9307,71,10~15,두한,살려달라? 
9309,71,10~15,두한,넌 조국에 많은 죄를 졌다. 당연히 그 죄값을 해야 한다. 지금까지 네가 이렇게 잘 살게 된것은 그만큼 너 때문에 괴로움을 당하고 빼앗기고 못 사는 사람들이 있기 때문이야. 안 그래?
9311,71,10~15,두한,죄값을 치뤄야지. 지금 조국의 형편이 매우 어렵다. 그때 비행기 값을 낸 만큼 헌금을 내. 헌금을 낼 수 있겠지? 
9313,71,10~15,두한,"내겠어, 말겠어? "
9315,71,10~15,두한,그렇다면 성금을 내. 돈 말이야. 
9317,71,10~15,두한,오늘 여러 군데를 들려야 돼. 서둘러. 
9319,71,10~15,두한,"영태 형님, 영수증을 드려야죠? "
9320,71,10~15,김영태,알겠네. 얼마로 쓰면 되겠소? 
9322,71,10~15,두한,"그러면 안 되지, 외상을 해서야 되나? 저쪽에 있는 저 금괴도 넣도록 해. "
9324,71,10~15,김영태,삼천만원..
9325,71,10~15,두한,"이승만 박사께 나중에 물어봐. 이게 사실인가, 아닌가? 이건 분명히 애국헌금이야. 그래, 안 그래? "
9328,71,10~15,신영균,"대단합니다. 삼천만원입니다. 이야, 이 돈이면 고래등같은 기와집을 삼백 채는 살 수 있습니다. 큰형님 하하하*"
9330,71,10~15,김영태,조용히들 해.*
9331,71,10~15,두한,"이제 막 시작했어. 오늘 밤새 바쁠 거야. 속력을 좀 내라, 관철아.*"
9332,71,10~15,김관철,알겠습니다. 형님.*
9333,71,10~15,두한,"개코, 넌 사무실에 좀 있어. 요즘 마음이 많이 산만한 모양이다. 한동안 사무실이나 좀 지켜. 바깥일은 신경 쓰지 말고.*"
9334,71,10~15,개코,참 산만하다고...? 나가 누구 때문에 이러는디. 시방 진영이는 뭣허고 있으까잉? 여보세요 교환? 교환? 교.. 하..참 어째서 전화를 안받으까잉.. 
9335,71,10~15,개코,"하유...나가 함께 자란 우리 사이를 잘해볼라고 하는디 두한이는 그걸 너무 몰러. 다른 식구들도 마찬가지고... 칫. 나가 눈 밖에 났을거라고....? 아 나가 누굴 위해서 이러는디, 나가....? "
9336,71,15~20,개코,"여보세요? 별동대요.? 누구요? 아, 회장님."
9337,71,15~20,유진산,"그래, 나 유진산이야. 별동대장 좀 바꿔. "
9338,71,15~20,개코,시방 없는디요. 
9339,71,15~20,유진산,없다니? 어디 갔어? 
9340,71,15~20,개코,간부들하고 무슨 일 있어서...쪼까 나갔는디요. 
9341,71,15~20,유진산,무슨 일이라니? 
9342,71,15~20,개코,"예.. 저, 그게 거시기.. 뭣이냐..."
9343,71,15~20,유진산,"아 그럼 저, 간부들하고 모두 같이 나갔단 말인가? "
9344,71,15~20,개코,예... 
9345,71,15~20,유진산,어어. 그래 그럼 저 들어오면 전화 왔었다고 전해주게. 
9346,71,15~20,유진산,무슨일이라.? 간부들과 다 같이나갔어? 이 밤중에 말이야*
9347,71,15~20,두한,자진해서 내지 않으면 억지로 거둬야 하지 않겠습니까? 말씀해 주십시오. 누구누구입니까? 돈 있는 사람들이?*
9349,71,15~20,두한,당신이 백사장 맞소.? 
9351,71,15~20,두한,노인장은 광산업으로 떼돈을 벌어서 과거 일본인들이 가지고 있던 조선 최대의 방직공장을 불하받았다고 들었소. 그게 사실이오? 
9353,71,15~20,두한,그리고 노인장은 건준의 여운형씨에게 정치자금을 주었다고 들었소. 삼천만원이던가? 그것도 사실이오? 
9355,71,15~20,두한,알고 있소. 지금 그것 때문에 골치 아파 죽겠어. 
9356,71,15~20,김영태,여운형씨는 그렇지가 않다고 들었는데 그 밑에 공산당들이 끼어 들어 가지고 말이야. 그 빨갱이들하고 싸우는데 정신이 없다 그 말이오. 거 노인네가 준 그 돈때문에 말이오.
9357,71,15~20,김관철,"와 빨갱이들한테 돈을 대줬노? 와? 죽을려고 환장했나? 너 빨갱이지 이 새끼야? 그래, 안 그래?!"
9358,71,15~20,두한,"아, 아 노인장이 아니신가? 잘 대우를 해 드려야지. "
9360,71,15~20,두한,우리 말이오? 청년단원이야. 나 김두한이오. 
9362,71,15~20,두한,그렇소. 이승만 박사를 아시오? 
9364,71,15~20,두한,이게 바로 그 어른이 주신 휘호요. 애국사업을 하는데 어르신 이름을 써도 괜찮다고 했단 말이오. 
9365,71,15~20,두한,"즉, 이승만 박사님의 이름으로 애국성금을 걷고 있는 중이다, 이런 말이야. 알겠소? "
9367,71,15~20,두한,이 집이 처음이 아니오. 꽤 많은 사람들에게 성금을 걷고 있소. 노인장은 얼마를 내시겠소? 
9369,71,15~20,두한,이 나라 최고의 부자가 아니야! 당신 여운형씨에게 삼천만원을 주었다고 했는데 우리에게도 그 만큼만 내놓으면 되겠어.
9372,71,15~20,신영균,"죽을 거야, 살 거야? "
9373,71,15~20,두한,물론 영수증을 써줄 거요. 그리고 이 나라가 완전하게 들어서면 정부에 신청을 하시오. 애국성금을 냈는데 돌려달라고 말이오. 
9374,71,15~20,두한,옛날 임시정부에서도 그렇게 독립자금을 거둔 적이 있소. 
9376,71,15~20,김영태,"자, 노인장.... 삼천만원이라고 영수증을 쓸까요? "
9378,71,15~20,신영균,수표? 그게 뭐요? 
9380,71,15~20,신영균,형님? 수표라는데요?   
9381,71,15~20,두한,노인장이 점잖으시니까 믿어보겠소. 허면 내일 꼭 뵈리다. 영수증은 미리 끊어드리시지요. 
9382,71,15~20,김영태,"알겠네. 자, 여기 있소, 다시 말하지마는 애국헌금이오. 이승만 박사와 민족진영에 내는 헌금 말이오. "
9389,71,20~25,개코,"뭐여? 워메, 벌써 열두 시구마잉? 통행금지 아니여.. 삼수야... 삼수야... 아따, 썩을 놈 새끼 어디 갔다야. 여보세요? 별동대..*"
9391,71,20~25,개코,두한이..? 아 어떤 싸가지없는 놈이 우리 김두한 오야붕 함자를 함부로 지껄이는것이여 이 새끼야! 
9393,71,20~25,개코,이 자식이 밤늦게 전화해갖고 반말을 찍찍 지껄이고 있어 이 새끼가?
9396,71,20~25,개코,자..장택...? 아유아유...청장님? 
9398,71,20~25,개코,"예, 시방 아무도 없는디요. 별동대장은 저기.. 예 그러니까 그거 애국성금을 걷으러."
9400,71,20~25,개코,예...그... 그래라우? 
9403,71,20~25,개코,"예예예, 알겄습니다. "
9404,71,20~25,개코,오메오메 걸려부렀구만. 아따 나 그럴줄 알았어. 애국성금이 아니라 강도 짓이라고 혔잖여 나가 아따 삼수 이자식을 내가.
9405,71,20~25,개코,"가만, 그나저나.. 저번 아편 훔쳤을 때처럼 다 끌려 들어가는 것 아니여? 워매 안 되제, 안 되제.. 진영이랑 이제 막 자리를 마련해야 하는디 응?"
9406,71,20~25,개코,"아따 나가 싸개싸개 달려가야겠구만... 그리여, 좋은 거짓말은 거짓말이 아니라고 혔어. 인자는 양쪽이 조금씩 마음이 움직이는 이 때가 바로 기회인 것이여. 응."
9407,71,20~25,개코,"여보세요. 교환, 교환? 아따 전하가 어째? "
